	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.724658	0.72216	0.628029	0.60871	0.663333	0.646661	0.59497	0.609294	0.623237	0.623118	0.644425	0.977811	0.611079	0.594628	0.902121	0.879755	0.989408	0.76623	0.566967	0.574399	0.81243	0.590326	0.638945	0.59691	0.826676	0.579001	0.689314	0.819853	0.766265	0.941114	0.788974	0.804841	0.721882	0.687829	0.657731	0.849448	0.48099	0.329553	0.866238	0.322546	0.596236	0.830875	0.584585	0.678818	0.903896	0.889105	0.830694	0.612914	0.545829	0.775402	0.609158	0.530111	1.290292	0.783825	0.497046	0.568938	0.693155	0.595672	0.797837
sp1565.486407	0.724658	0.0	0.431136	0.645789	0.778354	0.446905	0.568669	0.855748	0.352974	0.664363	0.736104	0.411099	0.878161	0.808455	0.783154	0.800185	0.780105	0.880614	0.953348	0.821827	0.716435	0.772096	0.699316	0.585521	0.753396	0.727026	0.685791	0.759888	0.791055	0.950023	0.841464	0.760176	0.850255	0.773824	0.772455	0.786025	0.749798	0.715118	0.770559	0.979144	0.75541	0.768838	0.802077	0.821233	0.616832	0.79354	0.789455	0.873588	0.807062	0.640401	0.729764	0.774846	0.660111	1.444046	0.968423	0.68217	0.705592	0.669189	0.77943	0.695279
sp0193.486346	0.72216	0.431136	0.0	0.660327	0.787988	0.562231	0.553829	0.811246	0.382482	0.592739	0.742868	0.376157	0.777513	0.817249	0.688416	0.699537	0.679457	0.784538	0.80783	0.694089	0.720189	0.719908	0.649494	0.613495	0.67262	0.691744	0.631755	0.746816	0.755773	0.914741	0.740816	0.724894	0.702681	0.816418	0.761327	0.668997	0.714516	0.670616	0.653043	0.943862	0.73833	0.650504	0.766795	0.681059	0.627796	0.692892	0.688807	0.78216	0.74545	0.625169	0.717484	0.757348	0.659745	1.436254	0.924761	0.696376	0.59903	0.612631	0.744148	0.609213
SE.20100928.GY.NF008.BC.093.a.673660	0.628029	0.645789	0.660327	0.0	0.573989	0.526546	0.515518	0.714355	0.498609	0.676642	0.378519	0.542612	0.989824	0.60325	0.590131	0.911848	0.891768	0.994563	0.781815	0.70887	0.557366	0.744989	0.557309	0.441164	0.648387	0.838689	0.438802	0.762911	0.831866	0.84913	0.953127	0.800987	0.811834	0.772677	0.775478	0.66217	0.861461	0.608403	0.639078	0.878251	0.658781	0.637725	0.842888	0.679944	0.621651	0.905203	0.901118	0.835167	0.628373	0.535582	0.770575	0.632725	0.507408	1.140939	0.79689	0.493541	0.638207	0.629642	0.678537	0.79236
E3E04.826190	0.60871	0.778354	0.787988	0.573989	0.0	0.599191	0.673381	0.800592	0.622216	0.732515	0.625424	0.671491	0.992165	0.147683	0.34996	0.919459	0.894109	1.027694	0.773894	0.700775	0.579607	0.677052	0.58262	0.669867	0.73462	0.84103	0.408605	0.693978	0.834207	0.770569	0.955468	0.803328	0.802455	0.677126	0.767939	0.691031	0.863802	0.669874	0.669355	0.880592	0.639462	0.528266	0.825129	0.700181	0.634316	0.869046	0.903459	0.825788	0.543128	0.614589	0.649654	0.503454	0.513579	1.309786	0.799019	0.36654	0.664874	0.740205	0.555438	0.767407
sp1017.486420	0.663333	0.446905	0.562231	0.526546	0.599191	0.0	0.566054	0.777419	0.429183	0.658998	0.600469	0.535282	0.926216	0.629292	0.637593	0.86356	0.82816	0.928669	0.859699	0.748026	0.598496	0.689761	0.554549	0.567428	0.725271	0.775081	0.508766	0.607971	0.768258	0.856374	0.889519	0.737379	0.756606	0.617737	0.640386	0.677794	0.797853	0.656637	0.716606	0.885495	0.694085	0.653349	0.77928	0.747432	0.559441	0.841595	0.83751	0.779939	0.653955	0.56251	0.706967	0.652033	0.542172	1.337817	0.874774	0.540671	0.726869	0.57554	0.685781	0.728752
ANT04.S2M1.607431	0.646661	0.568669	0.553829	0.515518	0.673381	0.566054	0.0	0.706655	0.491469	0.62481	0.628769	0.520392	0.923184	0.701826	0.649861	0.833972	0.825128	0.946747	0.692365	0.718954	0.610808	0.745273	0.611537	0.511714	0.618297	0.772049	0.573588	0.739043	0.765226	0.843292	0.886487	0.734347	0.726764	0.785995	0.793972	0.686836	0.794821	0.612233	0.5906	0.882463	0.676227	0.614727	0.766198	0.658012	0.627181	0.839725	0.834478	0.758477	0.722409	0.525364	0.701571	0.667137	0.570736	1.386247	0.794616	0.627843	0.662875	0.583478	0.654639	0.713466
UQ288.591065	0.59497	0.855748	0.811246	0.714355	0.800592	0.777419	0.706655	0.0	0.773932	0.668935	0.745772	0.785377	1.012395	0.765077	0.787842	0.935519	0.912053	1.023992	0.813944	0.673125	0.691091	0.91647	0.705908	0.755359	0.699382	0.856688	0.671671	0.823046	0.847579	0.864415	0.975698	0.8167	0.825027	0.854782	0.824719	0.701111	0.87946	0.539068	0.556431	0.9039	0.596088	0.739094	0.858601	0.687891	0.80194	0.953062	0.923689	0.85088	0.79892	0.620731	0.848406	0.763824	0.663747	1.430732	0.832379	0.733356	0.816928	0.698875	0.693822	0.886333
sp0759.486364	0.609294	0.352974	0.382482	0.498609	0.622216	0.429183	0.491469	0.773932	0.0	0.552483	0.61554	0.297375	0.867197	0.652317	0.64059	0.789221	0.769141	0.86965	0.871532	0.740011	0.579169	0.645324	0.573592	0.476861	0.647232	0.716062	0.527621	0.794608	0.709239	0.868207	0.8305	0.67836	0.768439	0.804374	0.807175	0.689627	0.738834	0.633302	0.673423	0.897328	0.639002	0.665182	0.720261	0.739417	0.486776	0.782576	0.778491	0.791772	0.669796	0.575053	0.647948	0.663866	0.522845	1.362516	0.886607	0.524	0.525332	0.658255	0.697614	0.669733
nest.WY.2008.3.712186.739059	0.623237	0.664363	0.592739	0.676642	0.732515	0.658998	0.62481	0.668935	0.552483	0.0	0.689095	0.579248	0.890682	0.761776	0.666941	0.81152	0.792626	0.895421	0.814413	0.695644	0.596536	0.698007	0.587181	0.608854	0.516747	0.739547	0.572868	0.745933	0.732724	0.865478	0.853985	0.701845	0.72717	0.783061	0.747656	0.64122	0.762319	0.567543	0.618522	0.900085	0.622901	0.675527	0.743746	0.692508	0.615659	0.829063	0.801976	0.750503	0.682547	0.613676	0.717437	0.733339	0.546428	1.397229	0.875498	0.624977	0.656319	0.62907	0.694885	0.736964
