	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.745003	0.673892	0.605132	0.643398	0.631939	0.551647	0.388055	0.638335	0.691362	0.498818	0.792841	0.989582	0.601774	0.562544	0.974825	0.840191	0.948566	0.707024	0.389079	0.553774	0.736711	0.575037	0.509012	0.747121	0.728619	0.544128	0.653607	0.793162	0.725098	0.800024	0.856033	0.646565	0.777319	0.628299	0.456144	0.755833	0.550908	0.5022	0.800059	0.442377	0.555439	0.74512	0.459077	0.680253	0.881354	0.815895	0.705551	0.639187	0.54915	0.737226	0.574671	0.566873	1.191532	0.680686	0.580147	0.581701	0.579395	0.568505	0.888449
sp1565.486407	0.745003	0.0	0.347905	0.661081	0.742153	0.528264	0.550748	0.799062	0.476302	0.554809	0.603445	0.441954	0.872917	0.666023	0.714943	0.860446	0.710492	0.825043	0.755299	0.725334	0.737131	0.802832	0.676478	0.664363	0.611476	0.765088	0.581377	0.7657	0.683355	0.760113	0.836493	0.746226	0.838546	0.719652	0.78574	0.748141	0.934006	0.698257	0.678687	0.90738	0.687264	0.807324	0.852441	0.679418	0.505486	0.819697	0.706088	0.82668	0.75473	0.583751	0.739413	0.743404	0.662568	1.310243	0.888879	0.648122	0.72084	0.607952	0.746678	0.76659
sp0193.486346	0.673892	0.347905	0.0	0.581074	0.619706	0.550993	0.466141	0.726403	0.352825	0.519618	0.54435	0.366431	0.838642	0.599196	0.594506	0.826171	0.676217	0.793054	0.665906	0.635439	0.636908	0.685317	0.625339	0.59821	0.634629	0.730813	0.54582	0.789051	0.64908	0.725838	0.802218	0.711951	0.748651	0.808369	0.815555	0.643748	0.899731	0.65994	0.605976	0.873105	0.621925	0.720603	0.818166	0.606707	0.393021	0.777042	0.671813	0.736259	0.704957	0.566094	0.705138	0.702591	0.612795	1.290736	0.846224	0.581549	0.615451	0.531297	0.712403	0.734601
SE.20100928.GY.NF008.BC.093.a.673660	0.605132	0.661081	0.581074	0.0	0.641504	0.511583	0.410367	0.659191	0.559513	0.685164	0.471122	0.716617	1.056838	0.592116	0.637062	1.044367	0.894413	1.013536	0.802006	0.583547	0.601278	0.751067	0.589481	0.578774	0.843099	0.807305	0.542046	0.822237	0.867276	0.80233	0.87871	0.930147	0.793151	0.817199	0.842277	0.61379	0.895007	0.64762	0.62118	0.878745	0.627821	0.764435	0.823806	0.582355	0.689713	0.926492	0.890009	0.852137	0.672225	0.568764	0.7945	0.693147	0.580063	1.075318	0.712478	0.538125	0.649703	0.745625	0.707679	0.955083
E3E04.826190	0.643398	0.742153	0.619706	0.641504	0.0	0.499801	0.565899	0.705845	0.593999	0.693634	0.481766	0.749487	1.091556	0.425226	0.415998	1.079085	0.927945	1.045968	0.751488	0.663355	0.560806	0.610709	0.521001	0.558732	0.846751	0.842023	0.568918	0.761847	0.901994	0.837048	0.913428	0.964865	0.785053	0.845531	0.785061	0.598672	0.869237	0.627218	0.640498	0.913463	0.595959	0.672009	0.858524	0.641229	0.678079	1.029956	0.924727	0.847995	0.569967	0.621418	0.726056	0.610301	0.482333	1.24549	0.886582	0.375691	0.640595	0.782871	0.681909	0.987515
sp1017.486420	0.631939	0.528264	0.550993	0.511583	0.499801	0.0	0.492032	0.696766	0.394508	0.634059	0.435773	0.628364	1.044093	0.500079	0.580589	1.031622	0.881668	0.996219	0.772357	0.651758	0.522089	0.746702	0.436848	0.540203	0.75158	0.79456	0.525965	0.711736	0.854531	0.764301	0.865965	0.917402	0.797166	0.737514	0.731776	0.574089	0.821774	0.556219	0.574439	0.866	0.5299	0.707962	0.811061	0.594512	0.63898	0.990873	0.877264	0.856152	0.505044	0.582335	0.781755	0.6381	0.412678	1.185403	0.847499	0.38046	0.47206	0.783572	0.634446	0.912482
ANT04.S2M1.607431	0.551647	0.550748	0.466141	0.410367	0.565899	0.492032	0.0	0.613008	0.421236	0.607655	0.438171	0.57907	0.986691	0.508717	0.527277	0.97422	0.824266	0.943389	0.688915	0.527522	0.511439	0.645662	0.539074	0.478303	0.777192	0.737158	0.468517	0.738238	0.797129	0.732183	0.808563	0.86	0.694548	0.737808	0.758278	0.532831	0.835224	0.563645	0.516437	0.808598	0.513748	0.64034	0.753659	0.477612	0.581822	0.856345	0.819862	0.753534	0.626162	0.468403	0.709865	0.620966	0.507836	1.222103	0.704591	0.50085	0.54225	0.639244	0.647896	0.884936
UQ288.591065	0.388055	0.799062	0.726403	0.659191	0.705845	0.696766	0.613008	0.0	0.690846	0.749847	0.567819	0.8469	1.020279	0.665769	0.624991	1.005522	0.870888	0.979263	0.760367	0.416964	0.621977	0.789222	0.640696	0.576979	0.81492	0.759316	0.591785	0.696862	0.823859	0.756627	0.830721	0.88673	0.675714	0.812186	0.686634	0.553191	0.796466	0.600555	0.577221	0.830756	0.511064	0.632966	0.775817	0.519642	0.734428	0.912051	0.846592	0.7347	0.707608	0.608215	0.791285	0.651872	0.635294	1.255527	0.711383	0.644142	0.648574	0.637162	0.609138	0.946934
sp0759.486364	0.638335	0.476302	0.352825	0.559513	0.593999	0.394508	0.421236	0.690846	0.0	0.544899	0.502749	0.451878	0.944789	0.568863	0.594821	0.932318	0.781178	0.899201	0.643219	0.599882	0.576343	0.685632	0.58128	0.549141	0.732654	0.695256	0.509961	0.749324	0.755227	0.690281	0.766661	0.818098	0.713094	0.764472	0.779998	0.622773	0.864174	0.562611	0.530723	0.837548	0.56652	0.697916	0.782609	0.517178	0.533508	0.883189	0.77796	0.700702	0.660898	0.523517	0.682451	0.678062	0.548888	1.246839	0.810667	0.545608	0.442218	0.616716	0.676846	0.840748
nest.WY.2008.3.712186.739059	0.691362	0.554809	0.519618	0.685164	0.693634	0.634059	0.607655	0.749847	0.544899	0.0	0.575904	0.551289	0.857518	0.63566	0.699344	0.845047	0.689119	0.809644	0.713224	0.645265	0.60448	0.804435	0.552887	0.623446	0.563613	0.728961	0.648642	0.830259	0.667956	0.694928	0.800366	0.730827	0.792055	0.803181	0.850299	0.645342	0.882029	0.576318	0.519294	0.860889	0.546363	0.783895	0.80595	0.552207	0.504477	0.804298	0.690689	0.790553	0.644559	0.589678	0.732996	0.735191	0.578881	1.28276	0.842388	0.617695	0.638751	0.596967	0.694701	0.697747
SE.20101009.GY.ALTFF002.BC.225.415346	0.498818	0.603445	0.54435	0.471122	0.481766	0.435773	0.438171	0.567819	0.502749	0.575904	0.0	0.652835	0.94041	0.430848	0.47796	0.927939	0.777985	0.899394	0.685578	0.542709	0.44147	0.647687	0.402783	0.33744	0.721919	0.690877	0.488154	0.656261	0.750848	0.685902	0.762282	0.813719	0.683423	0.707297	0.676301	0.481946	0.718091	0.431232	0.492374	0.762317	0.429939	0.594219	0.707378	0.491949	0.575571	0.875126	0.773581	0.742409	0.495009	0.368856	0.678072	0.509875	0.400913	1.107256	0.730912	0.383597	0.530481	0.666145	0.530763	0.840941
1204BCDNA.486523	0.792841	0.441954	0.366431	0.716617	0.749487	0.628364	0.57907	0.8469	0.451878	0.551289	0.652835	0.0	0.920755	0.655349	0.728767	0.908284	0.74364	0.872881	0.777509	0.773172	0.742201	0.842976	0.709784	0.710351	0.716396	0.812926	0.703303	0.930074	0.731193	0.807951	0.884331	0.794064	0.886384	0.884026	0.950114	0.790593	0.981844	0.700969	0.683985	0.955218	0.715254	0.840518	0.900279	0.684716	0.536938	0.867535	0.753926	0.874518	0.78981	0.648071	0.751085	0.759382	0.6778	1.368257	0.936717	0.697036	0.683024	0.65804	0.794516	0.814428
Zambon.Leftpalm.983763	0.989582	0.872917	0.838642	1.056838	1.091556	1.044093	0.986691	1.020279	0.944789	0.857518	0.94041	0.920755	0.0	0.972626	1.026214	0.362671	0.549351	0.683866	0.76658	0.960927	1.045322	0.908143	0.994759	0.98079	0.672105	0.677675	0.994216	1.085335	0.626558	0.802682	0.766642	0.483363	0.909339	1.073881	1.107117	1.034556	0.869123	0.950692	0.91963	0.838579	0.960523	1.066199	0.822422	0.956517	0.846667	0.501634	0.595387	0.788391	1.052173	0.910058	0.751658	0.983039	0.979859	1.602854	0.85266	0.991469	1.081633	0.855381	0.896253	0.636267
H55Kc.735962	0.601774	0.666023	0.599196	0.592116	0.425226	0.500079	0.508717	0.665769	0.568863	0.63566	0.430848	0.655349	0.972626	0.0	0.36921	0.943617	0.793663	0.974366	0.671138	0.598401	0.553828	0.533701	0.508425	0.516418	0.778219	0.706555	0.542226	0.671749	0.766526	0.666898	0.77796	0.829397	0.626005	0.786439	0.759047	0.582958	0.733769	0.496164	0.553688	0.777995	0.490343	0.607079	0.678324	0.567355	0.673505	0.902868	0.789259	0.705091	0.591319	0.562666	0.513338	0.496291	0.478523	1.186398	0.740664	0.425309	0.594423	0.752575	0.429333	0.915913
Myr.tri.Seat.4.03H10.653706	0.562544	0.714943	0.594506	0.637062	0.415998	0.580589	0.527277	0.624991	0.594821	0.699344	0.47796	0.728767	1.026214	0.36921	0.0	1.011457	0.861503	1.013702	0.670576	0.557593	0.563482	0.529101	0.555109	0.496246	0.816715	0.772109	0.568216	0.604701	0.83208	0.757084	0.843514	0.894951	0.601105	0.829945	0.642587	0.475516	0.799323	0.55793	0.57657	0.843549	0.443077	0.490619	0.76851	0.553789	0.661671	0.960042	0.854813	0.660091	0.642197	0.599538	0.650788	0.551947	0.543719	1.231936	0.798238	0.516207	0.510595	0.645133	0.550363	0.955249
