ff1fbc675205b0d803bf1455b05076a3	uranium mill tailings	uranium mill tailings	ID:0000132	1.0
ff145ee1a1eb9a4a77226f6d2af4adec	soil	soil	ENVO:00001998	1.0
fe6152a0d05ac3a3bc36829bba2aec63	soil	soil	ENVO:00001998	1.0
fe51e176fae2fb76514bd6e194fac244	fish product	fish product	ENVO:0010164	1.0
fe51d688dfadb757c6fabefb9690bf40	soil	soil	ENVO:00001998	1.0
fc2fbbde91d0c458d22b81b0231a828a	rumen	rumen	ID:0000006	1.0
fb9b5eee0aa2bed0196a199ee6425392	uranium mill tailings	uranium mill tailings	ID:0000132	1.0
fb62fda9cba34753cf5cf7f42ac6d99c	marine sediment	marine sediment	ENVO:00002113	1.0
f9d799db94ae2bad0ec9efe1d861f209	soil	soil	ENVO:00001998	1.0
f960559e6fe84f4be7f544151defb1d5	activated sludge	activated sludge	ENVO:00002046	1.0
f83678654dba7e50a29c6c3df32086e2	rumen	rumen	ID:0000006	1.0
f80df4180981a4d2f119f1d15b59c886	glacier	Glacier	ENVO:00000133	1.0
f7bee1d98b37a3ed0569b87cff31f169	mangrove soil	mangrove soil	ID:0000149	1.0
f73efdbeb034838d6442019a01d78cb9	root nodules	root nodule	ENVO:01000164	1.0
f62477ff232ad616232c8a5a9e78f807	subseafloor sediment	subseafloor sediment	ENVO:00002113	1.0
f5374bbf4e09a12600472f624dc3be03	subgingival plaque	subgingival plaque	ID:0000022	1.0
f4e3f0a3928a0aba23c3499a87915108	soil	soil	ENVO:00001998	1.0
f4962b9fd9ebe2fe346fb684d0669f9b	sea water	sea water	ENVO:00002149	1.0
f474af5d3583f1ceaaef2babcba7843b	cecum	cecum	ID:0000005	1.0
f43dd9e773cc518763c8c1d388a14ebd	uranium mill tailings	uranium mill tailings	ID:0000132	1.0
f3a7f657820a361eedbfbc9f4de1058c	marine sediments	marine sediment	ENVO:00002113	1.0
f2fed4aa9f6ceb80ee4949699eda3451	soil	soil	ENVO:00001998	1.0
f2a961dd7d9ab0bc5bb081a6023eec07	groundwater	groundwater	ENVO:00000061	1.0
f26e8dd6459bb58def069874ab9edd92	soil	soil	ENVO:00001998	1.0
f205840b7fde7920a359511de65d6431	intestine	intestines	ID:0000002	1.0
f1ecf68024eef32854ef2b6bbd72af51	marine electroactive biofilm	marine electroactive biofilm	ID:0000112	1.0
f1776d998104c3aa9111392b5e8f460c	oil field	oil field	ENVO:00002185	1.0
f1180d7138918a8ee30e7ee3f73cc6b1	soil	soil	ENVO:00001998	1.0
f029810a704a374f89c5cb22afd06234	mangrove soil	mangrove soil	ID:0000149	1.0
